Name,DOB,Gold,Silver,Bronze
Ryan Lochte,3-Aug-84,2,2,1
Alicia Coutts,14-Sep-87,1,2,1
Michael Phelps,30-Jun-85,2,2,0
Allison Schmitt,7-Jun-90,2,1,1
Yannick Agnel,9-Jun-92,2,1,0
Missy Franklin,10-May-95,2,0,1
Camille Muffat,28-Oct-89,1,1,1
Yang Sun,1-Dec-91,1,1,1
Nathan Adrian,7-Dec-88,1,1,0
Sandra Auffarth,27-Dec-86,1,0,1
Bronte Barratt,8-Feb-89,0,1,1
Ricky Berens,21-Apr-88,1,1,0
Bo Bae Ki,20-Feb-88,2,0,0
Elisa Di Francisca,13-Dec-82,2,0,0
Gabrielle Douglas,31-Dec-95,2,0,0
Brittany Elmslie,19-Jun-94,1,1,0
Arianna Errigo,6-Jun-88,1,1,0
Matthew Grevers,26-Mar-85,1,1,0
Ryosuke Irie,24-Jan-90,0,1,1
Michael Jung,31-Jul-82,2,0,0
Victoria Komova,30-Jan-95,0,2,0
Olena Kostevych,14-Apr-85,0,0,2
Clement Lefert,26-Sep-87,1,1,0
Amaury Leveaux,2-Dec-85,1,1,0
Aliya Mustafina,30-Sep-94,0,1,1
Jin Hyek Oh,15-Aug-81,1,0,1
Ranomi Kromowidjojo,20-Aug-90,1,1,0
Melanie Schlanger,31-Aug-86,1,1,0
Emily Seebohm,5-Jun-92,1,1,0
Rebecca Soni,18-Mar-87,1,1,0
Satomi Suzuki,29-Jan-91,0,1,1
Taehwan Park,27-Sep-89,0,2,0
Valentina Vezzali,14-Feb-74,1,0,1
Dana Vollmer,13-Nov-87,2,0,0
Shiwen Ye,1-Mar-96,2,0,0
Olga Zabelinskaya,10-May-80,0,0,2
Jennifer Abel,23-Aug-91,0,0,1
Alaaeldin Abouelkassem,25-Nov-90,0,1,0
Chantal Achterberg,16-Apr-85,0,0,1
Filip Adamski,5-Jan-83,1,0,0
Rebecca Adlington,17-Feb-89,0,0,1
Kseniia Afanaseva,13-Sep-91,0,1,0
Mayra Aguiar,3-Aug-91,0,0,1
Hannes Aigner,19-Mar-89,0,0,1
Nasser Al-Attiya,21-Dec-70,0,0,1
Sara Algotsson Ostholt,8-Dec-74,0,1,0
Yuri Alvear,29-Mar-86,0,0,1
Kum Ae An,3-Jun-80,1,0,0
Alyssa Anderson,30-Sep-90,1,0,0
Kristin Armstrong,11-Aug-73,1,0,0
Judith Arndt,23-Jul-76,0,1,0
Mariana Avitia,18-Sep-93,0,0,1
Alexander Kristoff,5-Jul-87,0,0,1
Alina Dumitru,30-Aug-82,0,1,0
Carina BAER,23-Jan-90,0,1,0
Tim Baillie,11-May-79,1,0,0
Angie Bainbridge,16-Oct-89,0,1,0
Coralie Balmy,2-Jun-87,0,0,1
Jacob Barsoe,21-Sep-88,0,0,1
Danka Bartekova,19-Oct-84,0,0,1
Chris Bartley,2-Feb-84,0,1,0
Romano Battisti,21-Aug-86,0,1,0
Gregory Bauge,31-Jan-85,0,1,0
Elizabeth Beisel,18-Aug-92,0,1,0
Claudia Belderbos,23-Jan-85,0,0,1
Mireia Belmonte Garcia,10-Nov-90,0,1,0
Meaghan Benfeito,2-Mar-89,0,0,1
Gabriel Bergen,6-Jul-82,0,1,0
Yanet Bermoy Acosta,29-May-87,0,1,0
Alain Bernard,1-May-83,1,0,0
Ole Bischof,27-Aug-79,0,1,0
Sylwia Bogacka,3-Oct-81,0,1,0
Hamish Bond,13-Feb-86,1,0,0
Charlotte Bonnet,14-Feb-95,0,0,1
Edith Bosch,31-May-80,0,0,1
David Boudia,24-Apr-89,0,0,1
Carline Bouw,14-Dec-84,0,0,1
Matthew Brittain,5-May-87,1,0,0
Jeremiah Brown,25-Nov-85,0,1,0
Kelci Bryant,15-Jan-89,0,1,0
Karina Bryant,27-Jan-79,0,0,1
Ashley Brzozowicz,17-Dec-82,0,1,0
Diana Laura Bulimar,22-Aug-95,0,0,1
Andrew Byrnes,22-May-83,0,1,0
Brent Hayden,21-Oct-83,0,0,1
Britta Heidemann,22-Dec-82,0,1,0
Erin Cafaro,9-Jun-83,1,0,0
Ivan Cambar Rodriguez,29-Dec-83,0,0,1
Alan Campbell,9-May-83,0,0,1
Cate Campbell,20-May-92,1,0,0
Niccolo Campriani,6-Nov-87,0,1,0
Yuan Cao,7-Feb-95,1,0,0
Corina Caprioriu,18-Jul-86,0,1,0
Peter Chambers,14-Mar-90,0,1,0
Richard Chambers,10-Jun-85,0,1,0
Germain Chardin,15-May-83,0,1,0
Diana Maria Chelaru,15-Aug-93,0,0,1
Ruolin Chen,12-Dec-92,1,0,0
Yibing Chen,19-Dec-84,1,0,0
Ying Chen,4-Nov-77,0,1,0
Ming Cheng,11-Feb-86,0,1,0
Zulfiya Chinshanlo,25-Jul-93,1,0,0
Jun-Ho Cho,16-Dec-88,0,0,1
Byungchul Choi,24-Oct-81,0,0,1
Hyeonju Choi,6-Aug-84,1,0,0
Maialen Chourraut,8-Mar-83,0,0,1
Tyler Clary,12-Mar-89,1,0,0
Roxana Daniela Cocos,5-Jun-89,0,1,0
Nathan Cohen,2-Jan-86,1,0,0
Kristina Cook,31-Aug-70,0,1,0
Iztok Cop,17-Jun-72,0,0,1
Natalie Coughlin,23-Aug-82,0,0,1
Lionel Cox,11-Jul-81,0,1,0
Will Crothers,14-Jun-87,0,1,0
Kim Crow,9-Aug-85,0,1,0
Laszlo Cseh,3-Dec-85,0,0,1
Caryn Davies,14-Apr-82,1,0,0
Catalina Ponor,20-Aug-87,0,0,1
Charlie Houchin,3-Nov-87,1,0,0
Michael D'almeida,3-Sep-87,0,1,0
Hakan Dahlby,15-Sep-65,0,1,0
Jun Dai,6-Feb-92,0,0,1
Xiaoxiang Dai,15-Dec-90,0,0,1
Sytske de Groot,3-Apr-86,0,0,1
Annemiek de Haan,15-Jul-81,0,0,1
Rajmond Debevec,29-Mar-63,0,0,1
Lucie Decosse,6-Aug-81,1,0,0
Natalie Dell,20-Feb-85,0,0,1
Yana Dementieva,23-Oct-78,1,0,0
Inna Deriglazova,10-Mar-90,0,1,0
Feng Ding,19-Mar-87,0,0,1
Ning Ding,20-Jun-90,0,1,0
Dong Dong,13-Apr-89,1,0,0
Nataliya Dovgodko,7-Feb-91,1,0,0
Conor Dwyer,10-Jan-89,1,0,0
Douglas Csima,28-Nov-85,0,1,0
Iuliia Efimova,3-Apr-92,0,0,1
Richard Egington,26-Feb-79,0,0,1
Irawan Eko Yuli,24-Jul-89,0,0,1
Brady Ellison,27-Oct-88,0,1,0
Rene Enders,13-Feb-87,0,0,1
Paola Espinosa Sanchez,31-Jul-86,0,1,0
Tony Estanguet,6-May-78,1,0,0
Ophelie-Cyrielle Etienne,9-Sep-90,0,0,1
Blair Evans,3-Apr-91,0,1,0
Eskild Ebbesen,27-May-72,0,0,1
Eva Csernoviczki,16-Oct-86,0,0,1
Yuting Fang,21-Dec-89,0,1,0
Margaux Farrell,22-Aug-90,0,0,1
James Feigen,26-Sep-89,0,1,0
Tianwei Feng,31-Aug-86,0,0,1
Zhe Feng,19-Nov-87,1,0,0
Emilie Fer,17-Feb-83,1,0,0
Sergei Fesikov,21-Jan-89,0,0,1
Oscar Albeiro Figueroa Mosquera,27-Apr-83,0,1,0
Roseline Filion,3-Jul-87,0,0,1
Joachim Fischer,23-Nov-78,0,0,1
David Florence,8-Aug-82,0,1,0
James Foad,20-Mar-87,0,0,1
Robert Forstemann,5-Mar-86,0,0,1
Karsten Forsterling,21-Jan-80,0,0,1
Jessica Fox,11-Jun-94,0,1,0
William Fox-Pitt,2-Jan-69,0,1,0
Zsuzsanna Francia,8-Nov-82,1,0,0
Michele Frangilli,1-May-76,1,0,0
Christopher Froome,20-May-85,0,0,1
Kamilla Gafurzianova,18-May-88,0,1,0
Marco Galiazzo,7-May-83,1,0,0
Arsen Galstyan,19-Feb-89,1,0,0
Ivan Garcia Navarro,25-Oct-93,0,1,0
Gemma Gibbons,6-Jan-87,0,1,0
Rob Gibson,2-Feb-86,0,1,0
Fabien Gilot,27-Apr-84,1,0,0
Christine Girard,3-Jan-85,0,0,1
Helen Glover,17-Jun-86,1,0,0
Priscilla Gneto,3-Aug-91,0,0,1
Celine Goberville,19-Sep-86,0,1,0
Anders Golding,12-May-84,0,1,0
Jinjie Gong,12-Nov-86,0,1,0
Asley Gonzalez,5-Sep-89,0,1,0
Katherine Grainger,12-Nov-75,1,0,0
Andrey Grechin,21-Oct-87,0,0,1
Anastasia Grishina,16-Jan-96,0,1,0
Tim Grohmann,27-Dec-88,1,0,0
Henk Grol,14-Apr-85,0,0,1
Krista Guloien,20-Mar-80,0,1,0
Daniel Gyurta,4-May-89,1,0,0
Gevrise Emane,27-Jul-82,0,0,1
Kosuke Hagino,15-Aug-94,0,0,1
Juliette Haigh,4-Aug-82,0,0,1
Brendan Hansen,15-Aug-81,0,0,1
Janine Hanson,14-Dec-82,0,1,0
Yun Hao,23-Jun-95,0,0,1
Jessica Hardy,12-Mar-87,0,0,1
Kayla Harrison,2-Jul-90,1,0,0
Zi He,10-Dec-90,1,0,0
Femke Heemskerk,21-Sep-87,0,1,0
Aliaksandra Herasimenia,31-Dec-85,0,1,0
Emilie Heymans,14-Dec-81,0,0,1
Phelan Hill,21-Jul-79,0,0,1
Philip Hindes,22-Sep-92,1,0,0
Hiroaki Hiraoka,6-Feb-85,0,1,0
Pavol Hochschorner,7-Sep-79,0,0,1
Peter Hochschorner,7-Sep-79,0,0,1
Malcolm Howard,7-Feb-83,0,1,0
Chris Hoy,23-Mar-76,1,0,0
Hee Sook Jeon,16-Jun-84,0,0,1
Ilias Iliadis,10-Nov-86,0,0,1
Dong Hyun Im,12-May-86,0,0,1
Larisa Andreea Iordache,19-Jun-96,0,0,1
Cristina Iovu,8-Nov-92,0,0,1
Kristian Ipsen,20-Oct-92,0,0,1
Mansur Isaev,23-Sep-86,1,0,0
Sandra Raluca Izbasa,18-Jun-90,0,0,1
Danila Izotov,2-Oct-91,0,0,1
Inge Dekker,18-Aug-85,0,1,0
Michael Jamieson,5-Aug-88,0,1,0
Haiqi Jiang,17-Jan-92,0,0,1
Liuyang Jiao,6-Aug-91,1,0,0
Jongoh Jin,24-Sep-79,1,0,0
Eric Johannesen,16-Jul-88,1,0,0
Abigail Johnston,16-Nov-89,0,1,0
Cullen Jones,29-Feb-84,0,1,0
Morten Jorgensen,23-Jun-85,0,0,1
Gil Ok Jung,15-Sep-80,0,0,1
Jinsun Jung,24-Jan-84,0,0,1
Yuliya Kalina,24-Oct-88,0,0,1
Megan Kalmoe,21-Aug-83,0,0,1
Jake Kaminski,11-Aug-88,0,1,0
Miki Kanie,4-Dec-88,0,0,1
Ryohei Kato,9-Sep-93,0,1,0
Kaori Kawanaka,3-Aug-91,0,0,1
Jason Kenny,23-Mar-88,1,0,0
Tagir Khaibulaev,24-Jul-84,1,0,0
Olga Kharlan,4-Sep-90,0,0,1
Bubmin Kim,22-May-91,0,0,1
Jae-Bum Kim,25-Jan-85,1,0,0
Jangmi Kim,25-Sep-92,1,0,0
Jiyeon Kim,12-Mar-88,1,0,0
Un Guk Kim,28-Oct-88,1,0,0
Mary King,8-Jun-61,0,1,0
Nienke Kingma,12-Feb-82,0,0,1
Felipe Kitadai,28-Jul-89,0,0,1
Ingrid Klimke,1-Apr-68,1,0,0
Kara Kohler,20-Jan-91,0,0,1
Nikolay Kovalev,28-Oct-86,0,0,1
Anastasiia Kozhenkova,19-Jan-86,1,0,0
Andreas Kuffner,11-Mar-87,1,0,0
Yolane Kukla,29-Sep-95,1,0,0
Iryna Kulesha,26-Jun-86,0,0,1
Vijay Kumar,19-Aug-85,0,1,0
Evgeny Kuznetsov,12-Apr-90,0,1,0
Kate Hornsey,19-Oct-81,0,1,0
Evgeny Lagunov,14-Dec-85,0,0,1
Mylene Lazare,20-Nov-87,0,0,1
Chad le Clos,12-Apr-92,1,0,0
Sung Jin Lee,7-Mar-85,1,0,0
Ugo Legrand,22-Jan-89,0,0,1
Sheng Lei,7-Mar-84,1,0,0
Caitlin Leverenz,26-Feb-91,0,0,1
Maximilian Levy,26-Jun-87,0,0,1
Danell Leyva,30-Oct-91,0,0,1
Jason Lezak,12-Nov-75,0,1,0
Xiaoxia Li,16-Jan-88,1,0,0
Xuanxu Li,5-Feb-94,0,0,1
Xueying Li,15-May-90,1,0,0
Yunqi Li,28-Aug-93,0,0,1
Ruben Limardo Gascon,3-Aug-85,1,0,0
Qingfeng Lin,26-Jan-89,1,0,0
Caroline Lind,11-Oct-82,1,0,0
Nikita Lobintsev,21-Nov-88,0,0,1
Esther Lofgren,28-Feb-85,1,0,0
Eleanor Logan,27-Dec-87,1,0,0
Constantine Louloudis,15-Sep-91,0,0,1
Chunlong Lu,8-Apr-89,0,0,1
Haojie Lu,3-Aug-90,0,1,0
Xiaojun Lu,27-Jul-84,1,0,0
Ying Lu,22-Jan-89,0,1,0
Zhiwu Lu,18-Mar-89,0,0,1
Yutong Luo,6-Oct-85,1,0,0
Jin Ma,7-May-88,0,1,0
James Magnussen,11-Apr-91,0,1,0
Gregory Mallet,21-Mar-84,0,1,0
Marti Malloy,23-Jun-86,0,0,1
Maiya Maneza,1-Nov-85,1,0,0
Mc Kayla Maroney,9-Dec-95,1,0,0
Darcy Marquardt,22-Mar-79,0,1,0
Adrienne Martelli,3-Dec-87,0,0,1
Michal Martikan,18-May-79,0,0,1
Damir Martin,14-Jul-88,0,1,0
Razvan Constantin Martin,22-Dec-91,0,0,1
Tony Martin,23-Apr-85,0,1,0
Sergei Martynov,18-May-68,1,0,0
Natalie Mastracci,5-Jun-89,0,1,0
Takeshi Matsuda,23-Jun-84,0,0,1
Kaori Matsumoto,11-Sep-87,1,0,0
Conlin Mccabe,20-Aug-90,0,1,0
Nicholas Mccrory,9-Aug-91,0,0,1
Kaarle Mcculloch,20-Jan-88,0,0,1
Matthew Mclean,13-May-88,1,0,0
James Mcrae,27-Jun-87,0,0,1
Anna Meares,21-Sep-83,0,0,1
Ruta Meilutyte,19-Mar-97,1,0,0
Sarah Menezes,26-Mar-90,1,0,0
Florian Mennigen,10-Apr-82,1,0,0
Julia Michalska,21-Jul-85,0,0,1
Alexander Mikhaylin,18-Aug-79,0,1,0
Hiromi Miyake,18-Nov-85,0,1,0
Alin George Moldoveanu,3-May-83,1,0,0
Daniele Molmenti,1-Aug-84,1,0,0
Christopher Morgan,15-Dec-82,0,0,1
Andreanne Morin,9-Aug-81,0,1,0
Vladimir Morozov,16-Jun-92,0,0,1
Dorian Mortelette,24-Nov-83,0,1,0
Vasily Mosin,9-May-72,0,0,1
Lukas Mueller,19-May-87,1,0,0
Eric Murray,6-May-82,1,0,0
Meghan Musnicki,5-Feb-83,1,0,0
Magdalena Fularczyk,16-Sep-86,0,0,1
Mahe Drysdale,19-Nov-78,1,0,0
Masashi Ebinuma,15-Feb-90,0,0,1
Matthew Langridge,20-May-83,0,0,1
Tuvshinbayar Naidan,1-Jun-84,0,1,0
Riki Nakaya,25-Jul-89,0,1,0
Hyun Hee Nam,29-Sep-81,0,0,1
Gagan Narang,6-May-83,0,0,1
George Nash,2-Oct-89,0,0,1
Sizwe Ndlovu,24-Sep-80,1,0,0
Lia Neal,13-Feb-95,0,0,1
Jade Neilsen,24-Jul-91,0,1,0
Mauro Nespoli,22-Nov-87,1,0,0
Marcel Nguyen,8-Sep-87,0,1,0
Andrew Nicholson,1-Aug-61,0,0,1
Ivan Nifontov,5-Jun-87,0,0,1
Masashi Nishiyama,9-Jul-85,0,0,1
Daniel Noonan,28-Oct-79,0,0,1
Natsumi Hoshi,21-Aug-90,0,0,1
Diego Occhiuzzi,30-Apr-81,0,1,0
Sam Oldham,17-Feb-93,0,0,1
Yun Chol Om,18-Nov-91,1,0,0
Britta Oppelt,5-Jul-78,0,1,0
Alejandra Orozco Loza,19-Apr-97,0,1,0
Idalys Ortiz,27-Sep-89,1,0,0
Dimitrij Ovtcharov,2-Sep-88,0,0,1
Jonathan Paget,17-Nov-83,0,0,1
Kylie Palmer,25-Feb-90,0,1,0
Alex Partridge,25-Jan-81,0,0,1
Maria Paseka,19-Jul-95,0,1,0
Automne Pavia,3-Jan-89,0,0,1
Christinna Pedersen,12-May-86,0,0,1
Lauren Perdue,25-Jun-91,1,0,0
Thiago Pereira,26-Jan-86,0,1,0
Dimitri Peters,4-May-84,0,0,1
Zara Phillips,15-May-81,0,1,0
Bartosz Piasecki,9-Dec-86,0,1,0
Caroline Powell,14-Mar-73,0,0,1
Brooke Pratley,6-Apr-80,0,1,0
Brian Price,19-Feb-76,0,1,0
Leuris Pupo,9-Apr-77,1,0,0
Daniel Purvis,13-Nov-90,0,0,1
Kai Qin,31-Jan-86,1,0,0
Tom Ransley,6-Sep-85,0,0,1
Maximilian Reinelt,24-Aug-88,1,0,0
Roline Repelaer van Driel,28-Jul-84,0,0,1
Kimberly Rhode,16-Jul-79,1,0,0
Jonelle Richards,14-Oct-80,0,0,1
Julia Richter,29-Sep-88,0,1,0
Jong Sim Rim,5-Feb-93,1,0,0
Teddy Riner,7-Apr-89,1,0,0
Taylor Ritzel,4-Sep-88,1,0,0
Aida Roman,21-May-88,0,1,0
Kyla Ross,24-Oct-96,1,0,0
Marc Ryan,14-Oct-82,0,0,1
Chun Hwa Ryang,12-Jun-91,0,0,1
Ren Hayakawa,24-Aug-87,0,0,1
Richard Hounslow,19-Dec-81,0,1,0
Rosalba Forciniti,13-Feb-86,0,0,1
David Sain,8-Feb-88,0,1,0
Nyam-Ochir Sainjargal,20-Jul-86,0,0,1
German Sanchez Sanchez,24-Jun-92,0,1,0
Alessio Sartori,13-Nov-76,0,1,0
William Satch,9-Jun-89,0,0,1
Martin Sauer,17-Dec-82,1,0,0
Mohamed Sbihi,27-Mar-88,0,0,1
Anne Schellekens,18-Apr-86,0,0,1
Richard Schmidt,23-May-87,1,0,0
Lauritz Schoof,7-Oct-90,1,0,0
Dirk Schrade,29-Jun-78,1,0,0
Hinkelien Schreuder,13-Feb-84,0,1,0
Karl Schulze,5-Mar-88,1,0,0
Rebecca Scown,10-Aug-83,0,0,1
Greg Searle,20-Mar-72,0,0,1
Jesse Sergent,8-Jul-88,0,0,1
Aida Shanaeva,23-Apr-86,0,1,0
Lasha Shavdatuashvili,31-Jan-92,1,0,0
Maryna Shkermankova,9-Apr-90,0,0,1
Rafael Silva,11-May-87,0,0,1
Martin Sinkovic,10-Nov-89,0,1,0
Valent Sinkovic,2-Aug-88,0,1,0
Kevin Sireau,18-Apr-87,0,1,0
Pimsiri Sirikaew,25-Apr-90,0,1,0
John Smith,12-Jan-90,1,0,0
Louis Smith,22-Apr-89,0,0,1
Dae-Nam Song,5-Apr-79,1,0,0
Luka Spik,9-Feb-79,0,0,1
Christian Sprenger,19-Dec-85,0,1,0
Heather Stanning,26-Jan-85,1,0,0
Etienne Stott,30-Jun-79,1,0,0
Mika Sugimoto,27-Aug-84,0,1,0
Joseph Sullivan,11-Apr-87,1,0,0
Yujie Sun,10-Aug-92,0,0,1
Ondrej Synek,13-Oct-82,0,1,0
Shu-Ching Hsu,9-May-91,0,1,0
Svetlana Podobedova,25-May-86,1,0,0
Sarah Tait,23-Jan-83,0,1,0
Kazuhito Tanaka,16-May-85,0,1,0
Yusuke Tanaka,29-Nov-89,0,1,0
Yi Tang,8-Jan-93,0,0,1
Kateryna Tarasenko,6-Aug-87,1,0,0
Davis Tarwater,24-Mar-84,1,0,0
Sideris Tasiadis,7-May-90,0,1,0
Ryo Tateishi,12-Jun-89,0,0,1
Audrey Tcheumeo,20-Apr-90,0,0,1
Aya Terakawa,12-Nov-84,0,0,1
Luca Tesconi,3-Jan-82,0,1,0
Annekatrin Thiele,18-Oct-84,0,1,0
Kerstin Thiele,26-Aug-86,0,1,0
Nick Thoman,6-Mar-86,0,1,0
Kristian Thomas,14-Feb-89,0,0,1
James Thompson,18-Nov-86,1,0,0
Lesley Thompson-Willie,20-Sep-59,0,1,0
Peter Thomsen,4-Apr-61,1,0,0
Mark Todd,1-Mar-56,0,0,1
Andreas Toelzer,27-Jan-80,0,0,1
Libby Trickett,28-Jan-85,1,0,0
Svetlana Tsarukaeva,25-Dec-87,0,1,0
Takaharu Furukawa,9-Aug-84,0,1,0
Troy Dumais,21-Jan-80,0,0,1
Miklos Ungvari,15-Oct-80,0,1,0
Rigoberto Uran Uran,26-Jan-87,0,1,0
Dmitry Ushakov,15-Aug-88,0,1,0
Antoine Valois-Fortier,13-Mar-90,0,0,1
Cameron van der Burgh,25-May-88,1,0,0
Charline van Snick,2-Sep-90,0,0,1
Peter Vanderkaay,12-Feb-84,0,0,1
Jacobine Veenhoven,30-Jan-84,0,0,1
Marleen Veldhuis,29-Jun-79,0,1,0
Sofya Velikaya,8-Jun-85,0,1,0
Rachelle Viinberg,30-Apr-79,0,1,0
Alexandr Vinokurov,16-Sep-73,1,0,0
Kristina Vogel,10-Nov-90,1,0,0
Marianne Vos,13-May-87,1,0,0
Shannon Vreeland,15-Nov-91,1,0,0
Valentin Hristov,30-Mar-94,0,0,1
Vavrinec Hradilek,10-Mar-87,0,1,0
Vincent Hancock,19-Mar-89,1,0,0
Hao Wang,26-Dec-92,1,0,0
Hao Wang,15-Dec-83,0,1,0
Mingjuan Wang,11-Oct-85,1,0,0
Anna Watkins,13-Feb-83,1,0,0
Ning Wei,5-Aug-82,0,1,0
Amanda Weir,11-Mar-86,0,0,1
Miriam Welte,9-Dec-86,1,0,0
Phillipp Wende,4-Jul-85,1,0,0
Mary Whipple,10-May-80,1,0,0
Max Whitlock,13-Jan-93,0,0,1
Jordyn Wieber,12-Jul-95,1,0,0
Bradley Wiggins,28-Apr-80,1,0,0
Kristof Wilke,17-Apr-85,1,0,0
Lauren Wilkinson,17-Oct-89,0,1,0
Rob Williams,21-Jan-85,0,1,0
Nicola Wilson,1-Oct-76,0,1,0
Peter Robert Russell Wilson,15-Sep-86,1,0,0
Kasper Winther,21-Mar-85,0,0,1
Jingbiao Wu,10-Jan-89,0,1,0
Minxia Wu,10-Nov-85,1,0,0
Jacob Wukie,11-May-86,0,1,0
Chen Xu,29-Nov-84,0,1,0
Jing Xu,6-Sep-90,0,1,0
Lili Xu,18-Feb-88,0,1,0
Koji Yamamuro,17-Jan-89,0,1,0
Siling Yi,6-May-89,1,0,0
Dan Yu,18-Aug-87,0,0,1
Natalya Zabolotnaya,15-Aug-85,0,1,0
Ilya Zakharov,2-May-91,0,1,0
Chenglong Zhang,12-May-89,1,0,0
Jike Zhang,16-Feb-88,1,0,0
Nan Zhang,1-Mar-90,1,0,0
Andrija Zlatic,25-Jan-78,0,0,1
Urska Zolnir,9-Oct-81,1,0,0
Kai Zou,25-Feb-88,1,0,0
